brand,product,frequency
apple,Apple iPhone 15,6
samsung,Samsung Galaxy S24,6
google,Google Pixel 8,2
apple,Apple MacBook Air (M3),6
dell,Dell XPS 13,2
lenovo,Lenovo ThinkPad X1 Carbon,2
apple,Apple iPad Air (M2),6
samsung,Samsung Galaxy Tab S9,6
amazon,Amazon Fire HD 10 (2023),2
apple,Apple Mac mini (M2),6
hp,HP OMEN 45L,2
lenovo,Lenovo ThinkCentre M90q,2
nvidia,NVIDIA GeForce RTX 4070,1
amd,AMD Ryzen 5 7600X,1
corsair,Corsair Vengeance DDR5 32GB,1
lg,LG UltraGear 27GP850,2
dell,Dell UltraSharp U2720Q,2
samsung,Samsung Odyssey G7 (32),6
hp,HP OfficeJet Pro 9025e,2
brother,Brother HL-L2350DW,1
canon,Canon imageFORMULA R10,2
samsung,Samsung 990 PRO NVMe SSD,6
wd,WD Black SN850X NVMe SSD,1
seagate,Seagate BarraCuda 2TB HDD,1
tp,TP-Link Archer AX55,1
netgear,NETGEAR Nighthawk AX5400 (RAX50),1
ubiquiti,Ubiquiti UniFi 6 Lite,1
logitech,Logitech MX Master 3S,2
keychron,Keychron K2 (Hot-Swap),1
anker,Anker 7-in-1 USB-C Hub,1
sony,Sony WH-1000XM5,5
apple,Apple AirPods Pro (2nd gen),6
bose,Bose QuietComfort Ultra,2
sonos,Sonos One (Gen 2),1
jbl,JBL Charge 5,1
bose,Bose SoundLink Flex,2
canon,Canon EOS R6 Mark II,2
sony,Sony α7 IV,5
nikon,Nikon Z6 II,1
sony,Sony PlayStation 5,5
microsoft,Microsoft Xbox Series X,3
nintendo,Nintendo Switch OLED,1
sony,Sony DualSense Wireless Controller,5
logitech,Logitech G502 X,2
razer,Razer BlackWidow V4,1
lg,LG C3 OLED,2
samsung,Samsung QN90C Neo QLED,6
sony,Sony HT-A7000 Soundbar,5
google,Google Nest Hub (2nd gen),2
amazon,Amazon Echo Dot (5th gen),2
philips,Philips Hue Starter Kit (E27),2
apple,Apple Watch Series 9,6
samsung,Samsung Galaxy Watch6,6
garmin,Garmin Forerunner 265,1
dji,DJI Mini 4 Pro,2
dji,DJI Air 3,2
autel,Autel EVO Nano+,1
instant,Instant Pot Duo 7-in-1 (5.7L),1
dyson,Dyson V11 Absolute,1
philips,Philips Airfryer XXL,2
xiaomi,Xiaomi Electric Scooter 4,1
segway,Segway Ninebot MAX G30,1
niu,NIU KQi3 Pro,1
microsoft,Microsoft Windows 11 Pro,3
microsoft,Microsoft Office 2021,3
adobe,Adobe Photoshop (2024),1
